Comment,Designator,Footprint,LCSC Part #
,J1,1501062800106161,
1uF,C2 C4 C5 C6,C0603,
1uF,C7,C1206,
10k,R1,R0603,
10nF,C3,C0603,
10uF,C1,C1206,
JTAG,JTAG1,1X06_ROUND,
LED,PWR,SML0805,
LM1117MPX-3.3,IC8,SOT223,
XC95144XL-TQ100,CPLD,TQFP100,
