Comment,Designator,Footprint,LCSC Part #
,JP1,1X20-BIG,
1.5nF,C9,C0805K,
1K5,R3,R0603,
1nF,C3,C0603,
1nF,C1 C13,C0805K,
2.2uF,C11 C12 C14,C1206K,
4.7uF,C6 C7,C1206K,
4K7,R4 R5 R6 R9 R10 R11 R12,R0603,
4R7,R1 R2,R0603,
10nF,C8 C17,C0603,
10nF,C10,C0805K,
10uF,C5,C1206K,
22K,R7,R0603,
33nF,C15 C16,C0603,
100nF,C4,C0603,
100nF,C2,C0805K,
270,R8,R0603,
LM324D,U2,SO14,
LM4558D,U1,SO08,
